Log name,Algorithm,#Relations,#Activities,Size,Density,NonSeparability,Constraint Variability,Runtime
BPIC15_2f,Group,379.0,133.0,512.0,2.952380952380953,0.984375,0.7183897763232803,0.6108770370483398
BPIC15_2f,Choice+Group,429.0,148.0,577.0,3.188976377952756,0.9688041594454074,1.0,0.4849317073822021
BPIC15_3f,Flat,699.0,62.0,761.0,11.274193548387096,0.9986859395532195,0.4955715719421996,0.6052837371826172
BPIC15_3f,Choice,659.0,71.0,730.0,9.647058823529411,0.9945205479452056,0.5093871555316682,0.6179947853088379
BPIC15_3f,Group,202.0,97.0,299.0,2.271604938271605,0.9498327759197325,0.9182958340544896,0.8482811450958252
BPIC15_3f,Choice+Group,390.0,108.0,498.0,4.179775280898877,0.9698795180722892,0.5217425908726885,0.5863349437713623
BPIC15_4f,Flat,522.0,65.0,587.0,8.03076923076923,0.9982964224872232,0.821803794578658,0.3700349330902099
BPIC15_4f,Choice,500.0,70.0,570.0,7.323529411764706,0.9947368421052633,0.8271412661752168,0.4566190242767334
BPIC15_4f,Group,202.0,103.0,305.0,2.1204819277108435,0.9540983606557378,1.0,0.5365352630615234
BPIC15_4f,Choice+Group,245.0,110.0,355.0,2.523809523809524,0.9492957746478873,1.0,0.4775412082672119
BPIC15_5f,Flat,573.0,74.0,647.0,7.743243243243243,0.9984544049459043,0.7946568737667989,0.3995664119720459
BPIC15_5f,Choice,546.0,82.0,628.0,7.105263157894737,0.9888535031847134,0.8153820911909858,0.4177441596984863
BPIC15_5f,Group,240.0,114.0,354.0,2.1881188118811883,0.9745762711864407,0.9808340377961404,0.578669548034668
BPIC15_5f,Choice+Group,347.0,117.0,464.0,3.1923076923076925,0.9719827586206897,0.9463946303571864,0.4600381851196289
BPIC17,Flat,119.0,26.0,145.0,4.576923076923077,0.993103448275862,0.74420902388431,8.65549373626709
BPIC17,Choice,108.0,27.0,135.0,4.0,0.9925925925925926,0.761838726450198,9.167148351669312
BPIC17,Group,67.0,40.0,107.0,1.7837837837837838,0.97196261682243,0.8336007162925265,12.992565155029297
BPIC17,Choice+Group,70.0,40.0,110.0,1.794871794871795,0.9818181818181819,0.8256304004199861,8.536190271377563
BPIC17-Offer,Flat,25.0,8.0,33.0,3.125,0.9696969696969698,0.7090743088643242,1.1838786602020264
BPIC17-Offer,Choice,12.0,10.0,22.0,1.5714285714285714,0.8181818181818182,0.8342022886441015,1.548506498336792
BPIC17-Offer,Group,11.0,11.0,22.0,1.6666666666666667,0.7272727272727273,0.8586727110732552,2.978307008743286
BPIC17-Offer,Choice+Group,11.0,11.0,22.0,1.6666666666666667,0.7272727272727273,0.8586727110732552,1.4012782573699951
BPIC17_f,Flat,64.0,18.0,82.0,3.555555555555556,0.9878048780487805,0.8612137953365822,5.557043790817261
BPIC17_f,Choice,61.0,19.0,80.0,3.333333333333333,0.975,0.8616716593057652,5.171402215957642
BPIC17_f,Group,49.0,25.0,74.0,2.0,0.9729729729729731,0.875,7.388516664505005
BPIC17_f,Choice+Group,48.0,25.0,73.0,1.9583333333333333,0.9726027397260274,0.8631465140909278,5.096886396408081
BPIC19,Flat,599.0,42.0,641.0,14.261904761904765,0.998439937597504,0.3193234032326675,13.254997253417969
BPIC19,Choice,504.0,45.0,549.0,11.2,0.9981785063752276,0.3607212877785739,12.259627103805542
BPIC19,Group,218.0,69.0,287.0,3.253731343283582,0.9895470383275262,0.4799623634445172,19.092331886291504
BPIC19,Choice+Group,215.0,76.0,291.0,2.9452054794520546,0.9862542955326461,0.4898817830839437,12.865528106689451
Dreyers,Flat,268.0,33.0,301.0,8.121212121212121,0.9966777408637874,0.5336583115583025,0.0509910583496093
Dreyers,Choice,268.0,33.0,301.0,8.121212121212121,0.9966777408637874,0.5336583115583025,0.0525476932525634
Dreyers,Group,109.0,52.0,161.0,2.3777777777777778,0.9565217391304349,0.6664446424850199,0.1404790878295898
Dreyers,Choice+Group,112.0,65.0,177.0,1.9464285714285716,0.9548022598870057,0.6629097742386354,0.0651400089263916
RTFMP,Flat,22.0,11.0,33.0,2.0,0.9696969696969698,0.7695756163983518,4.473369359970093
