Log name,Algorithm,TP,FP,TN,FN,F1-PDC,F1,BAC,MCC,Training Fitness,Size,Density,Separability,Co-Separability,Constraint Variability,#Relations,#Nestings,#InNActivities,#Activities,Runtime
pdc2022_0011102.xes,config 0,,,,,,,,,,62,4.454545454545454,0.03225806451612903,0.032258064516129004,-0.0,50,0,0,12,0.23883295059204102
pdc2022_0011102.xes,config 1,,,,,,,,,,39,2.4,0.10256410256410256,0.10256410256410253,-0.0,26,1,5,13,0.018963098526000977
pdc2022_0011102.xes,config 2,,,,,,,,,,30,1.75,0.36666666666666664,0.3666666666666667,-0.0,15,3,11,15,0.027586698532104492
pdc2022_0011102.xes,config 3,,,,,,,,,,27,1.0,0.48148148148148145,0.4814814814814814,-0.0,12,3,11,15,0.020592689514160156
pdc2022_1201011.xes,config 0,,,,,,,,,,48,3.0,0.020833333333333332,0.02083333333333337,0.6921224087251574,36,0,0,12,0.028718948364257812
pdc2022_1201011.xes,config 1,,,,,,,,,,48,3.0,0.020833333333333332,0.02083333333333337,0.6921224087251574,36,0,0,12,0.028214216232299805
pdc2022_1201011.xes,config 2,,,,,,,,,,29,1.3333333333333333,0.27586206896551724,0.27586206896551724,1.0,12,5,15,17,0.04288029670715332
pdc2022_1201011.xes,config 3,,,,,,,,,,31,1.1666666666666667,0.2903225806451613,0.29032258064516125,1.0,12,7,17,19,0.031430959701538086
pdc2022_0111011.xes,config 0,,,,,,,,,,30,2.375,0.13333333333333333,0.1333333333333333,-0.0,19,0,0,11,0.027096986770629883
pdc2022_0111011.xes,config 1,,,,,,,,,,30,2.375,0.13333333333333333,0.1333333333333333,-0.0,19,0,0,11,0.02473735809326172
pdc2022_0111011.xes,config 2,,,,,,,,,,22,0.75,0.4090909090909091,0.40909090909090917,-0.0,7,4,9,15,0.03826546669006348
pdc2022_0111011.xes,config 3,,,,,,,,,,22,0.75,0.4090909090909091,0.40909090909090917,-0.0,7,4,9,15,0.026018381118774414
pdc2022_0011104.xes,config 0,,,,,,,,,,52,3.6363636363636362,0.038461538461538464,0.038461538461538436,-0.0,40,0,0,12,0.020277976989746094
pdc2022_0011104.xes,config 1,,,,,,,,,,52,3.6363636363636362,0.038461538461538464,0.038461538461538436,-0.0,40,0,0,12,0.020145177841186523
pdc2022_0011104.xes,config 2,,,,,,,,,,26,0.5,0.38461538461538464,0.3846153846153846,-0.0,10,4,13,16,0.24143338203430176
pdc2022_0011104.xes,config 3,,,,,,,,,,26,0.5,0.38461538461538464,0.3846153846153846,-0.0,10,4,13,16,0.022165775299072266
pdc2022_0001003.xes,config 0,,,,,,,,,,63,4.25,0.015873015873015872,0.015873015873015817,0.1392329990550989,51,0,0,12,0.026508092880249023
pdc2022_0001003.xes,config 1,,,,,,,,,,40,2.4,0.075,0.07499999999999996,1.0,27,1,5,13,0.024849414825439453
pdc2022_0001003.xes,config 2,,,,,,,,,,31,1.8,0.3225806451612903,0.32258064516129026,0.5032583347756457,16,3,11,15,0.03315424919128418
pdc2022_0001003.xes,config 3,,,,,,,,,,28,1.0,0.42857142857142855,0.4285714285714286,1.0,13,3,11,15,0.024739980697631836
pdc2022_0200001.xes,config 0,,,,,,,,,,106,5.235294117647059,0.009433962264150943,0.009433962264150941,0.33025293278266754,89,0,0,17,0.04243922233581543
pdc2022_0200001.xes,config 1,,,,,,,,,,94,4.222222222222222,0.010638297872340425,0.010638297872340385,0.3687163048505896,76,1,2,18,0.04010653495788574
pdc2022_0200001.xes,config 2,,,,,,,,,,55,1.5263157894736843,0.09090909090909091,0.09090909090909094,0.5489063487245982,31,7,19,24,0.05729937553405762
pdc2022_0200001.xes,config 3,,,,,,,,,,64,1.5,0.046875,0.046875,0.5872831180372802,37,10,22,27,0.04037785530090332
pdc2022_0011010.xes,config 0,,,,,,,,,,41,3.1,0.024390243902439025,0.024390243902439046,0.7451524358260551,31,0,0,10,0.02234816551208496
pdc2022_0011010.xes,config 1,,,,,,,,,,30,2.0,0.06666666666666667,0.06666666666666665,0.8649735207179272,19,1,3,11,0.02445816993713379
pdc2022_0011010.xes,config 2,,,,,,,,,,30,1.3333333333333333,0.2,0.19999999999999996,1.0,17,3,6,13,0.03643512725830078
pdc2022_0011010.xes,config 3,,,,,,,,,,29,1.3333333333333333,0.20689655172413793,0.2068965517241379,0.9463946303571863,16,3,7,13,0.024265527725219727
pdc2022_0101004.xes,config 0,,,,,,,,,,76,4.846153846153846,0.013157894736842105,0.013157894736842146,0.6273480285900903,63,0,0,13,0.027127742767333984
pdc2022_0101004.xes,config 1,,,,,,,,,,76,4.846153846153846,0.013157894736842105,0.013157894736842146,0.6273480285900903,63,0,0,13,0.02657914161682129
pdc2022_0101004.xes,config 2,,,,,,,,,,50,1.8235294117647058,0.06,0.06000000000000005,0.6883465095145642,31,6,13,19,0.0380854606628418
pdc2022_0101004.xes,config 3,,,,,,,,,,51,1.7222222222222223,0.058823529411764705,0.05882352941176472,0.6883465095145642,31,7,14,20,0.02829742431640625
pdc2022_1010100.xes,config 0,,,,,,,,,,96,5.4,0.010416666666666666,0.01041666666666663,0.47744144290753565,81,0,0,15,0.02974390983581543
pdc2022_1010100.xes,config 1,,,,,,,,,,65,2.5294117647058822,0.03076923076923077,0.03076923076923077,0.9182958340544896,46,4,10,19,0.031090974807739258
pdc2022_1010100.xes,config 2,,,,,,,,,,59,1.8888888888888888,0.11864406779661017,0.11864406779661019,0.9206198357143051,36,8,19,23,0.046588897705078125
pdc2022_1010100.xes,config 3,,,,,,,,,,55,1.6363636363636365,0.14545454545454545,0.1454545454545455,0.9206198357143051,32,8,20,23,0.03957986831665039
pdc2022_0110111.xes,config 0,,,,,,,,,,39,2.3636363636363638,0.07692307692307693,0.07692307692307687,0.23519338181924143,26,0,0,13,0.029590845108032227
pdc2022_0110111.xes,config 1,,,,,,,,,,39,2.3636363636363638,0.07692307692307693,0.07692307692307687,0.23519338181924143,26,0,0,13,0.02861809730529785
pdc2022_0110111.xes,config 2,,,,,,,,,,27,1.0,0.37037037037037035,0.37037037037037035,0.9182958340544896,9,5,13,18,0.04460287094116211
pdc2022_0110111.xes,config 3,,,,,,,,,,28,1.0,0.39285714285714285,0.3928571428571428,1.0,9,6,14,19,0.23717498779296875
pdc2022_1010110.xes,config 0,,,,,,,,,,57,3.75,0.017543859649122806,0.01754385964912286,0.6185051950035234,45,0,0,12,0.02480173110961914
pdc2022_1010110.xes,config 1,,,,,,,,,,46,2.5384615384615383,0.021739130434782608,0.021739130434782594,0.7075378949189315,33,1,3,13,0.024424314498901367
pdc2022_1010110.xes,config 2,,,,,,,,,,45,1.9166666666666667,0.06666666666666667,0.06666666666666665,0.9602297178607614,29,4,10,16,0.03578472137451172
pdc2022_1010110.xes,config 3,,,,,,,,,,44,1.625,0.045454545454545456,0.045454545454545414,0.7202817257914318,27,5,12,17,0.025869131088256836
pdc2022_0000002.xes,config 0,,,,,,,,,,78,4.428571428571429,0.02564102564102564,0.02564102564102566,0.20559250818508304,63,0,0,15,0.02340555191040039
pdc2022_0000002.xes,config 1,,,,,,,,,,50,2.3846153846153846,0.12,0.12,0.34511731494495296,32,3,8,18,0.026684999465942383
pdc2022_0000002.xes,config 2,,,,,,,,,,39,1.6666666666666667,0.41025641025641024,0.41025641025641024,0.4689955935892812,18,6,17,21,0.036863088607788086
pdc2022_0000002.xes,config 3,,,,,,,,,,36,1.25,0.4722222222222222,0.4722222222222222,0.7219280948873623,15,6,17,21,0.026474714279174805
pdc2022_1001010.xes,config 0,,,,,,,,,,44,3.4,0.022727272727272728,0.022727272727272707,0.7549134424805439,34,0,0,10,0.020576953887939453
pdc2022_1001010.xes,config 1,,,,,,,,,,38,2.1666666666666665,0.02631578947368421,0.02631578947368418,0.8175195311866704,26,2,4,12,0.02166438102722168
pdc2022_1001010.xes,config 2,,,,,,,,,,38,1.75,0.05263157894736842,0.05263157894736836,0.9182958340544896,24,4,8,14,0.033989906311035156
pdc2022_1001010.xes,config 3,,,,,,,,,,38,1.75,0.05263157894736842,0.05263157894736836,0.9182958340544896,24,4,8,14,0.023464679718017578
pdc2022_0000101.xes,config 0,,,,,,,,,,86,4.733333333333333,0.011627906976744186,0.011627906976744207,0.31273337639664334,71,0,0,15,0.23400163650512695
pdc2022_0000101.xes,config 1,,,,,,,,,,86,4.733333333333333,0.011627906976744186,0.011627906976744207,0.31273337639664334,71,0,0,15,0.0238339900970459
pdc2022_0000101.xes,config 2,,,,,,,,,,43,1.1333333333333333,0.16279069767441862,0.16279069767441867,0.5225593745369408,20,8,20,23,0.03655385971069336
pdc2022_0000101.xes,config 3,,,,,,,,,,44,1.0625,0.1590909090909091,0.15909090909090906,0.5225593745369408,20,9,21,24,0.027204275131225586
pdc2022_1001012.xes,config 0,,,,,,,,,,40,3.857142857142857,0.1,0.09999999999999998,0.5032583347756457,30,0,0,10,0.01788949966430664
pdc2022_1001012.xes,config 1,,,,,,,,,,31,2.125,0.12903225806451613,0.12903225806451613,0.6722948170756379,20,1,3,11,0.018138408660888672
pdc2022_1001012.xes,config 2,,,,,,,,,,31,1.375,0.16129032258064516,0.16129032258064513,0.8453509366224365,17,4,8,14,0.02666020393371582
pdc2022_1001012.xes,config 3,,,,,,,,,,31,1.4444444444444444,0.16129032258064516,0.16129032258064513,0.7793498372920852,17,4,8,14,0.01944875717163086
pdc2022_0011112.xes,config 0,,,,,,,,,,33,3.6,0.18181818181818182,0.18181818181818188,-0.0,23,0,0,10,0.017931461334228516
pdc2022_0011112.xes,config 1,,,,,,,,,,24,1.6,0.2916666666666667,0.29166666666666674,-0.0,13,1,3,11,0.02017974853515625
pdc2022_0011112.xes,config 2,,,,,,,,,,26,1.3333333333333333,0.3076923076923077,0.3076923076923077,-0.0,13,3,6,13,0.031244516372680664
pdc2022_0011112.xes,config 3,,,,,,,,,,23,1.0,0.43478260869565216,0.4347826086956521,-0.0,10,3,6,13,0.01975727081298828
pdc2022_1200101.xes,config 0,,,,,,,,,,111,5.529411764705882,0.009009009009009009,0.009009009009009028,0.6332905746550958,94,0,0,17,0.03498697280883789
pdc2022_1200101.xes,config 1,,,,,,,,,,111,5.529411764705882,0.009009009009009009,0.009009009009009028,0.6332905746550958,94,0,0,17,0.03689932823181152
pdc2022_1200101.xes,config 2,,,,,,,,,,69,1.5769230769230769,0.043478260869565216,0.04347826086956519,0.8721617883411701,41,11,22,28,0.27195024490356445
pdc2022_1200101.xes,config 3,,,,,,,,,,70,1.5185185185185186,0.04285714285714286,0.042857142857142816,0.8721617883411701,41,12,23,29,0.04458284378051758
pdc2022_1101012.xes,config 0,,,,,,,,,,60,4.8,0.03333333333333333,0.033333333333333326,0.4820661480830931,49,0,0,11,0.02981257438659668
pdc2022_1101012.xes,config 1,,,,,,,,,,42,2.3333333333333335,0.047619047619047616,0.04761904761904767,0.676941869780886,29,2,5,13,0.02975606918334961
pdc2022_1101012.xes,config 2,,,,,,,,,,34,1.7,0.17647058823529413,0.17647058823529416,0.5225593745369408,19,4,10,15,0.04251670837402344
pdc2022_1101012.xes,config 3,,,,,,,,,,32,1.0,0.28125,0.28125,0.9182958340544896,15,6,13,17,0.03160834312438965
pdc2022_1101101.xes,config 0,,,,,,,,,,74,4.6923076923076925,0.013513513513513514,0.013513513513513487,0.560576942614533,61,0,0,13,0.028855085372924805
pdc2022_1101101.xes,config 1,,,,,,,,,,74,4.6923076923076925,0.013513513513513514,0.013513513513513487,0.560576942614533,61,0,0,13,0.03616476058959961
pdc2022_1101101.xes,config 2,,,,,,,,,,48,1.3888888888888888,0.0625,0.0625,0.8554508105601306,27,8,17,21,0.04217696189880371
pdc2022_1101101.xes,config 3,,,,,,,,,,49,1.3157894736842106,0.061224489795918366,0.061224489795918324,0.8554508105601306,27,9,18,22,0.030601978302001953
pdc2022_1010004.xes,config 0,,,,,,,,,,94,5.266666666666667,0.010638297872340425,0.010638297872340385,0.3589820020250992,79,0,0,15,0.034911394119262695
pdc2022_1010004.xes,config 1,,,,,,,,,,94,5.266666666666667,0.010638297872340425,0.010638297872340385,0.3589820020250992,79,0,0,15,0.03397655487060547
pdc2022_1010004.xes,config 2,,,,,,,,,,55,1.736842105263158,0.07272727272727272,0.07272727272727275,0.45616351424737756,33,7,17,22,0.05215001106262207
pdc2022_1010004.xes,config 3,,,,,,,,,,55,1.736842105263158,0.07272727272727272,0.07272727272727275,0.45616351424737756,33,7,17,22,0.2696108818054199
pdc2022_1111113.xes,config 0,,,,,,,,,,44,3.2,0.045454545454545456,0.045454545454545414,0.25223944821098915,33,0,0,11,0.02665877342224121
pdc2022_1111113.xes,config 1,,,,,,,,,,33,1.6363636363636365,0.09090909090909091,0.09090909090909094,0.3876239630951644,20,2,5,13,0.02670454978942871
pdc2022_1111113.xes,config 2,,,,,,,,,,35,1.4444444444444444,0.14285714285714285,0.1428571428571428,0.48785277138929134,19,5,10,16,0.03960561752319336
pdc2022_1111113.xes,config 3,,,,,,,,,,32,1.2,0.1875,0.1875,0.8112781244591328,16,5,10,16,0.02905893325805664
